Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Total Discharges
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,1,8605.27,37220.29,41.0
AK,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1,18681.73,43032.73,11.0
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2,16235.91,63529.835,23.0
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,6,11728.936666666666,35582.83833333334,24.5
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,4,8132.6849999999995,29064.272500000003,17.0
AK,069 - TRANSIENT ISCHEMIA,3,7769.7,21904.359999999997,16.666666666666668
AK,101 - SEIZURES W/O MCC,2,7753.25,34187.5,16.5
AK,176 - PULMONARY EMBOLISM W/O MCC,2,10143.985,39422.125,21.0
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,1,18846.63,74433.5,16.0
AK,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,4,17219.822500000002,40128.2525,13.75
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,3,11350.213333333333,44627.579999999994,27.0
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,5,11600.182,37337.676,20.4
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,5,10904.468,27321.629999999997,21.4
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,5,8200.43,18667.136000000002,22.2
AK,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,2,13256.244999999999,35794.16,23.5
AK,194 - SIMPLE PNEUMONIA & PLEURISY W CC,8,10401.015,23807.83375,35.875
AK,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,5,7787.858,19542.341999999997,20.2
AK,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,3,22819.146666666667,103306.71,17.333333333333332
AK,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,2,27760.985,106002.58,17.0
AK,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2,22806.125,114560.87,25.0
AK,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,2,16986.870000000003,79452.645,23.5
AK,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,2,31750.375,136626.565,19.5
AK,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,4,23026.882500000003,91919.225,39.0
AK,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1,16670.79,105916.26,47.0
AK,253 - OTHER VASCULAR PROCEDURES W CC,1,23970.36,115351.09,11.0
AK,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1,15264.54,58122.69,13.0
AK,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1,10164.77,43998.15,13.0
AK,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2,7409.67,38124.83,12.0
AK,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",1,18658.5,66860.18,22.0
AK,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",4,12227.4275,53218.8275,29.75
AK,291 - HEART FAILURE & SHOCK W MCC,4,16372.525,52800.625,28.5
AK,292 - HEART FAILURE & SHOCK W CC,6,11146.685,29318.160000000003,32.166666666666664
AK,293 - HEART FAILURE & SHOCK W/O CC/MCC,3,6284.323333333334,23829.51,15.0
