Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Total Discharges,Average Medicare Payments
AK,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1,130684.17,486576.67,12.0,128857.67
AK,038 - EXTRACRANIAL PROCEDURES W CC,1,12574.78,67650.67,18.0,11464.56
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,1,9003.73,55886.73,40.0,7440.38
AK,054 - NERVOUS SYSTEM NEOPLASMS W MCC,1,12498.33,59441.75,12.0,11252.5
AK,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1,9544.0,38041.64,11.0,8510.36
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2,20409.440000000002,85311.04000000001,35.5,19159.68
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,7,11564.062857142857,42601.31285714286,25.857142857142858,9588.28
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,3,9646.156666666668,31889.326666666664,16.0,7853.87
AK,069 - TRANSIENT ISCHEMIA,1,7018.09,33180.64,11.0,5950.73
AK,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,1,8076.19,23139.81,16.0,6354.06
AK,100 - SEIZURES W MCC,1,16819.75,87574.31,16.0,13414.06
AK,101 - SEIZURES W/O MCC,2,7669.675,34094.869999999995,18.5,6315.525
AK,163 - MAJOR CHEST PROCEDURES W MCC,1,61996.8,305408.13,15.0,60641.33
AK,176 - PULMONARY EMBOLISM W/O MCC,1,8891.06,33295.19,16.0,7877.94
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,3,20065.693333333333,62219.64333333333,18.0,19103.54
AK,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,2,15879.485,50000.89,15.0,12269.235
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,4,15439.800000000001,53963.7775,38.5,13756.5675
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,4,13550.710000000001,41535.155,30.25,12288.622500000001
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,5,10279.314,32727.326,19.2,8939.272
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,3,6796.016666666666,26546.446666666667,15.333333333333334,5722.77
AK,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,5,15959.442,56092.00600000001,29.2,14843.859999999997
AK,194 - SIMPLE PNEUMONIA & PLEURISY W CC,7,11291.69857142857,32118.458571428575,30.428571428571427,9911.598571428573
AK,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,3,7861.75,21520.986666666668,17.0,6485.546666666666
AK,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,3,29072.64,103431.33333333333,18.0,27232.199999999997
AK,219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,2,89429.965,469752.95,21.0,88318.275
AK,220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,2,49350.175,281528.975,17.5,48084.2
AK,221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,1,39406.93,180087.93,14.0,37995.29
AK,233 - CORONARY BYPASS W CARDIAC CATH W MCC,1,69395.41,327320.59,17.0,67904.24
AK,234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,1,51187.21,278133.21,14.0,49640.64
AK,236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC,2,46328.345,231944.47999999998,13.0,30859.175
AK,237 - MAJOR CARDIOVASC PROCEDURES W MCC,1,58072.39,297273.17,18.0,52996.5
AK,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,3,39537.676666666666,140887.08666666667,16.333333333333332,33005.98333333334
AK,242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,1,32240.53,120810.71,17.0,31284.29
AK,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,1,22961.54,93790.23,39.0,21866.36
AK,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,1,19266.5,60087.81,16.0,16327.06
AK,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,2,38007.75,191477.13,34.5,28463.65
AK,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,4,21205.815000000002,106026.6,34.75,19989.7375
AK,250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,1,29124.1,154792.65,20.0,27927.15
AK,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1,19844.95,130595.92,37.0,17633.35
AK,252 - OTHER VASCULAR PROCEDURES W MCC,1,35756.06,162461.33,18.0,34234.89
AK,253 - OTHER VASCULAR PROCEDURES W CC,1,22992.42,79848.92,12.0,19291.0
AK,266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,1,76952.13,191425.94,16.0,75920.56
AK,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1,18693.08,81344.04,24.0,17488.29
AK,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",3,12612.506666666666,51428.12333333333,15.0,11557.43
AK,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",1,25750.59,114880.18,17.0,20322.18
AK,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2,13206.635,59830.125,19.0,11197.23
AK,291 - HEART FAILURE & SHOCK W MCC,5,16241.405999999999,66782.83,32.0,14566.039999999999
AK,292 - HEART FAILURE & SHOCK W CC,7,11205.471428571429,40925.87714285714,28.857142857142858,9373.044285714286
AK,293 - HEART FAILURE & SHOCK W/O CC/MCC,2,7771.200000000001,27185.525,17.5,6797.67
AK,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,4,14399.517500000002,48959.6725,16.0,12532.695
AK,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,3,7289.346666666667,33080.13,14.0,5747.083333333333
AK,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,1,5829.44,23400.67,18.0,4749.11
AK,312 - SYNCOPE & COLLAPSE,2,10439.275,41369.315,11.0,6244.91
AK,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,2,22067.15,64340.195,15.0,21247.415
AK,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,1,9139.88,35910.76,17.0,8163.29
AK,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,1,44408.57,146906.53,30.0,43052.23
AK,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,4,26751.275,123237.135,19.0,25123.305
AK,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1,26335.25,84674.5,12.0,17021.75
AK,377 - G.I. HEMORRHAGE W MCC,2,21107.03,57247.159999999996,18.5,20306.43
AK,378 - G.I. HEMORRHAGE W CC,7,10525.387142857144,33757.67571428572,27.142857142857142,9581.004285714285
AK,379 - G.I. HEMORRHAGE W/O CC/MCC,1,6982.63,26996.25,16.0,5891.13
AK,389 - G.I. OBSTRUCTION W CC,2,8734.335,33295.595,23.0,7386.785
AK,390 - G.I. OBSTRUCTION W/O CC/MCC,3,7730.420000000001,25047.0,13.0,6656.393333333333
AK,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",1,11283.69,51806.0,16.0,10288.0
AK,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",6,7484.016666666666,29735.26833333333,26.5,6175.241666666668
AK,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,1,9047.38,43428.54,13.0,7763.85
AK,417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,1,28940.69,116903.54,13.0,27279.92
AK,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,1,14671.33,53371.33,15.0,13507.73
AK,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,1,12352.33,43520.83,18.0,9458.0
AK,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,1,15567.58,50409.42,12.0,6966.0
AK,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,4,37673.1275,121954.76,40.25,35246.8675
AK,462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,2,31208.11,128203.715,13.0,25655.16
AK,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,2,28315.379999999997,101959.515,18.5,25792.225
AK,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,2,25989.41,91761.60999999999,25.0,20189.379999999997
AK,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,1,30064.78,114825.44,18.0,26192.17
AK,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,7,22535.644285714283,73303.29,111.85714285714286,19565.110000000004
AK,472 - CERVICAL SPINAL FUSION W CC,1,22570.09,120427.55,22.0,21318.09
AK,473 - CERVICAL SPINAL FUSION W/O CC/MCC,3,22512.193333333333,77463.28666666667,30.0,18905.286666666667
AK,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,5,21403.306,86559.09,22.8,19589.971999999998
AK,483 - MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,2,19746.675000000003,81077.035,40.5,18587.95
AK,"494 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",1,14182.0,51698.45,11.0,11368.91
AK,519 - BACK & NECK PROC EXC SPINAL FUSION W CC,2,14578.565,76741.2,16.0,12350.845000000001
AK,520 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,2,9856.224999999999,52638.11,22.0,8581.935000000001
AK,536 - FRACTURES OF HIP & PELVIS W/O MCC,1,7272.32,38047.68,19.0,6085.95
AK,552 - MEDICAL BACK PROBLEMS W/O MCC,2,7633.3099999999995,46854.055,12.5,6419.9349999999995
AK,603 - CELLULITIS W/O MCC,7,9414.66142857143,29915.428571428572,19.142857142857142,8154.03
